DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012,5972512.6,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023,14272615.9,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2022,12729503.3,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2021,11014870.4,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2020,9471322.9,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2005,3263424.4,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2015,7005188.6,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2001,2310144.3,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2000,2168696,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1999,2005537.4,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1998,1827247.4,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1997,1704016.6,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011,5508304.9,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010,4996550.6,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009,4481098.1,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008,4341636.1,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007,4019009.2,,,F,1,E,6,USD
